Dep;Pob; NEP;S_F;S_M;SNE;NE_PC;ND_PI;NE_SC;NE_SI; NE_SnUC; NE_SnUI; NE_SUC; NE_SUI;DcP;DcSegP;DcL; DcVCS;DcF;DcAP;E_18_19;E_20_24;E_25_29;E_30_34;E_35_39;E_40_44;E_45_49;E_50_59;E_60_
AMAZONAS;379384;2;35;824;35;139;265;165;184;24;16;16;9;309;140;247;127;21;12;8;94;156;144;124;115;86;91;41
ANCASH;1083519;2;156;3179;3;316;529;834;1164;125;87;73;98;1384;696;785;276;110;42;49;438;632;574;502;372;298;330;140
APURIMAC;405759;2;61;549;21;65;128;166;168;15;13;16;16;154;204;154;78;15;6;11;98;103;105;89;75;51;54;24
AREQUIPA;1382730;3;158;2226;48;167;310;693;659;159;127;82;97;1009;353;646;218;73;30;30;281;371;418;387;299;234;252;112
AYACUCHO;616176;2;192;2347;89;284;527;638;733;88;62;46;53;496;1301;514;163;24;12;36;343;439;464;394;308;242;216;97
CAJAMARCA;1341012;4;107;1867;110;341;441;416;399;70;44;43;47;723;314;453;387;54;23;24;229;380;348;299;226;168;211;89
CUZCO;1205527;3;186;2586;70;230;530;801;727;91;102;65;107;878;737;858;233;12;35;42;403;501;452;412;324;236;289;113
HUANCAVELICA;347639;1;9;191;3;22;39;54;42;17;6;10;6;42;16;92;26;16;6;7;25;36;27;23;22;16;25;19
HUANUCO;721047;1;162;2392;145;290;643;564;650;57;59;53;75;719;848;682;221;20;24;37;302;432;394;409;332;233;306;109
ICA;850765;2;302;4971;72;312;578;1665;1831;236;233;120;161;2357;1143;1098;368;180;76;95;767;967;964;735;613;484;468;180
JUNIN;1246038;7;180;2861;84;320;613;803;840;90;78;120;12;821;761;942;307;155;20;34;368;527;559;413;396;276;320;148
LA LIBERTAD;1778080;2;283;4471;124;589;905;1084;1518;154;159;79;105;2395;974;680;363;120;27;114;984;1003;852;575;442;322;332;130
LAMBAYEQUE;1197260;1;163;3000;94;373;548;791;999;103;94;57;71;1653;533;507;280;74;33;64;486;621;541;450;346;277;293;85
LIMA;9485405;10;1884;24140;281;1740;2873;7452;9391;979;962;601;758;12492;6385;3766;1954;404;237;364;3848;4752;4598;3794;2951;2222;2511;984
LORETO;883510;3;74;1172;53;136;259;285;351;36;38;16;31;350;384;399;97;4;9;16;183;169;187;170;154;132;152;83
PASCO;254065;2;14;181;4;10;26;81;39;6;5;13;9;85;9;38;44;12;4;6;24;39;37;26;22;20;16;5
PIURA;1856809;1;94;3098;84;310;619;805;1000;123;134;35;54;1637;677;483;265;90;10;63;536;665;577;441;308;210;285;107
PUNO;1172697;3;190;1597;37;200;298;556;403;66;51;69;85;1289;707;152;469;31;77;24;150;223;302;295;304;195;211;83
SAN MARTIN;813381;4;62;2221;92;422;564;398;560;86;52;53;29;2491;293;341;347;106;61;24;246;362;378;347;297;230;300;99
TACNA;329332;3;110;992;24;75;156;314;335;45;35;23;41;1565;469;196;145;16;128;10;113;176;195;182;149;117;108;52
TUMBES;224863;1;37;823;27;156;201;297;23;21;11;10;1;1745;300;183;294;18;82;11;164;153;154;116;83;61;98;20
UCAYALI;496459;1;104;1949;65;207;413;456;690;60;73;21;41;3625;596;326;271;94;57;39;342;359;331;289;220;158;221;94
